OBJECTID,ZONING_ABBREVIATION,ZONING,STATUS,TOWN,PLAN_NAME,MyPlan_GZT,Shape__Area,Shape__Length
225,OS,Open Space / Recreation & Amenity,ADOPTED,Oranmore,Oranmore LAP 2012 - 2022,G1,437.363647460938,92.0072143492353
226,OS,Open Space / Recreation & Amenity,ADOPTED,Oranmore,Oranmore LAP 2012 - 2022,G1,430.228088378906,165.06252861043
227,OS,Open Space / Recreation & Amenity,ADOPTED,Oranmore,Oranmore LAP 2012 - 2022,G1,429.222290039063,197.257560311145
228,OS,Open Space / Recreation & Amenity,ADOPTED,Oranmore,Oranmore LAP 2012 - 2022,G1,428.61474609375,116.465852654523
229,R,Residential Existing,ADOPTED,Oranmore,Oranmore LAP 2012 - 2022,R2.6,427.575653076172,107.871345834911
230,R,Residential Existing,ADOPTED,Oranmore,Oranmore LAP 2012 - 2022,R2.6,425.294921875,107.575347417319
231,R,Residential Existing,ADOPTED,Oranmore,Oranmore LAP 2012 - 2022,R2.6,417.748992919922,110.36272673835
232,R,Residential Existing,ADOPTED,Oranmore,Oranmore LAP 2012 - 2022,R2.6,400.17041015625,87.3521740458088
233,R,Residential Existing,ADOPTED,Oranmore,Oranmore LAP 2012 - 2022,R2.6,393.020416259766,97.7321660127359
234,R,Residential Existing,ADOPTED,Oranmore,Oranmore LAP 2012 - 2022,R2.6,391.032836914063,78.1627667014737
235,R,Residential Existing,ADOPTED,Oranmore,Oranmore LAP 2012 - 2022,R2.6,381.974853515625,91.0016487046064
236,R,Residential Existing,ADOPTED,Oranmore,Oranmore LAP 2012 - 2022,R2.6,362.297882080078,77.0296608935903
237,OS,Open Space / Recreation & Amenity,ADOPTED,Oranmore,Oranmore LAP 2012 - 2022,G1,358.464050292969,125.326253385529
238,OS,Open Space / Recreation & Amenity,ADOPTED,Oranmore,Oranmore LAP 2012 - 2022,G1,355.316070556641,86.6202864898784
